px,py,vx,vy,px_meas,py_meas,px_true,py_true,vx_truevy_true
101.201,16.5418,1.38106,-0.927557,101.204,16.5368,101.065,16.497,0.991362,-0.513687
101.157,16.5347,1.13963,-0.962778,101.169,16.4353,101.065,16.497,0.991362,-0.513687
102.386,16.3933,1.34613,0.434845,102.387,16.3992,102.063,15.9949,1.04911,-0.512803
102.277,16.3757,0.987218,0.378402,102.081,15.8359,102.063,15.9949,1.04911,-0.512803
103.006,15.3631,0.431541,-1.99225,103.003,15.353,103.119,15.4967,1.11708,-0.508169
103.065,15.3705,1.03415,-1.9258,102.776,15.1195,103.119,15.4967,1.11708,-0.508169
104.114,15.2579,1.13048,1.14977,104.114,15.2708,104.244,15.0064,1.19469,-0.498349
104.057,15.2495,1.01296,1.13235,103.905,14.7607,104.244,15.0064,1.19469,-0.498349
105.537,14.4549,1.8483,-2.11817,105.541,14.4412,105.447,14.5293,1.28111,-0.481861
105.451,14.4434,1.54317,-2.15403,105.316,14.0026,105.447,14.5293,1.28111,-0.481861
106.832,14.0358,1.28806,0.800725,106.831,14.0482,106.737,14.0724,1.37529,-0.457255
106.776,14.0285,1.24516,0.794239,106.439,14.2401,106.737,14.0724,1.37529,-0.457255
108.083,13.6686,1.32796,-1.15965,108.084,13.6604,108.122,13.644,1.47592,-0.423202
108.126,13.6738,1.55722,-1.13418,108.131,13.6844,108.122,13.644,1.47592,-0.423202
109.535,13.5641,1.30248,0.596964,109.534,13.5714,109.606,13.2536,1.58144,-0.378583
109.514,13.5614,1.33619,0.600591,109.388,13.1556,109.606,13.2536,1.58144,-0.378583
111.061,12.5925,1.69757,-2.05185,111.063,12.5814,111.196,12.9118,1.69008,-0.322574
111.143,12.6018,1.86479,-2.03295,111.426,12.9557,111.196,12.9118,1.69008,-0.322574
112.913,12.4742,1.73499,1.19125,112.913,12.4877,112.893,12.6299,1.7999,-0.254723
112.89,12.4717,1.65472,1.18259,112.797,12.8241,112.893,12.6299,1.7999,-0.254723
114.799,12.5583,2.11819,-0.666185,114.801,12.5506,114.699,12.4195,1.90891,-0.175007
114.788,12.5572,1.96648,-0.681642,114.916,12.3187,114.699,12.4195,1.90891,-0.175007
116.688,12.102,1.84375,-0.300036,116.687,12.1035,116.611,12.2921,2.01507,-0.0838683
116.749,12.1082,2.07702,-0.278107,116.871,12.0659,116.611,12.2921,2.01507,-0.0838683
118.952,11.9997,2.3261,0.0123259,118.953,12.0009,118.628,12.2586,2.11648,0.0177712
